Station,Years,Mean_mm,Std_mm,Min_mm,Max_mm
0,1,0.0,,0,0
1,1,1.0,,1,1
2,1,2.0,,2,2
3,1,3.0,,3,3
4,1,4.0,,4,4
5,1,5.0,,5,5
6,1,6.0,,6,6
7,1,7.0,,7,7
8,1,8.0,,8,8
9,1,9.0,,9,9
10,1,10.0,,10,10
11,1,11.0,,11,11
12,1,12.0,,12,12
13,1,13.0,,13,13
14,1,14.0,,14,14
15,1,15.0,,15,15
16,1,16.0,,16,16
17,1,17.0,,17,17
18,1,18.0,,18,18
19,1,19.0,,19,19
20,1,20.0,,20,20
21,1,21.0,,21,21
22,1,22.0,,22,22
23,1,23.0,,23,23
24,1,24.0,,24,24
25,1,25.0,,25,25
26,1,26.0,,26,26
27,1,27.0,,27,27
28,1,28.0,,28,28
29,1,29.0,,29,29
30,1,30.0,,30,30
31,1,31.0,,31,31
32,1,32.0,,32,32
33,1,33.0,,33,33
34,1,34.0,,34,34
35,1,35.0,,35,35
36,1,36.0,,36,36
37,1,37.0,,37,37
38,1,38.0,,38,38
39,1,39.0,,39,39
40,1,40.0,,40,40
41,1,41.0,,41,41
42,1,42.0,,42,42
43,1,43.0,,43,43
44,1,44.0,,44,44
45,1,45.0,,45,45
46,1,46.0,,46,46
47,1,47.0,,47,47
48,1,48.0,,48,48
49,1,49.0,,49,49
50,1,50.0,,50,50
51,1,51.0,,51,51
52,1,52.0,,52,52
53,1,53.0,,53,53
54,1,54.0,,54,54
55,1,55.0,,55,55
56,1,56.0,,56,56
57,1,57.0,,57,57
58,1,58.0,,58,58
59,1,59.0,,59,59
60,1,60.0,,60,60
61,1,61.0,,61,61
62,1,62.0,,62,62
63,1,63.0,,63,63
64,1,64.0,,64,64
65,1,65.0,,65,65
66,1,66.0,,66,66
67,1,67.0,,67,67
68,1,68.0,,68,68
69,1,69.0,,69,69
70,1,70.0,,70,70
71,1,71.0,,71,71
72,1,72.0,,72,72
73,1,73.0,,73,73
74,1,74.0,,74,74
75,1,75.0,,75,75
76,1,76.0,,76,76
77,1,77.0,,77,77
78,1,78.0,,78,78
79,1,79.0,,79,79
80,1,80.0,,80,80
81,1,81.0,,81,81
82,1,82.0,,82,82
83,1,83.0,,83,83
84,1,84.0,,84,84
85,1,85.0,,85,85
86,1,86.0,,86,86
87,1,87.0,,87,87
88,1,88.0,,88,88
89,1,89.0,,89,89
90,1,90.0,,90,90
